序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動,銷售金額,累計銷售票數,累計銷售金額
19,南韓,鎖命危機,2019/01/18,采昌國際多媒體股份有限公司,"CASTELAO PICTURES, S.L.",37,"4,980",-43.89%,"1,133,742","20,821","4,732,283"
20,美國,魔劍少年,2019/01/18,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,71,"3,083",-72.81%,"669,755","26,377","5,848,798"
21,日本,企鵝公路,2019/01/18,木棉花國際股份有限公司,FUJI CREATIVE CORPORATION,31,"2,843",-66.38%,"655,394","17,046","3,911,666"
22,中華民國,貓影特工,2019/01/18,春暉映像有限公司,奇翼果股份有限公司,17,"2,108",-46.06%,"456,330","9,868","2,100,190"
23,日本,我的爸爸是壞蛋冠軍,2019/01/18,天馬行空數位有限公司,Hakuhodo DY music & pictures Inc.,9,227,-66.32%,"49,540","1,722","386,773"
24,中國大陸,給19歲的我自己,2019/01/18,原創娛樂股份有限公司,北京強視文化發展有限公司##強視傳媒有限公司##強視國際(香港)有限公司##霍爾果斯強視影視傳媒有限公司(聯合出品)##北京中視星馳文化傳媒有限公司(聯合出品)##上海亮視影業有限公司(聯合出品),5,119,-75.76%,"25,590",931,"202,037"
25,阿根廷,天使怎麼了,2019/01/08,東昊影業有限公司,Film Factory,7,235,-64.66%,"51,898","1,642","355,229"
26,英國,鬼故事,2019/01/18,暗光鳥有限公司,ALTITUDE FILM SALES LIMITED,3,73,-83.18%,"15,590",904,"197,215"
27,義大利,狗奴人生,2019/01/18,捷傑有限公司,RAI COM,4,66,-85.33%,"13,650","1,236","258,690"
28,瑞典,搖滾男孩狂想曲,2019/01/18,本萃電影有限公司,AB SVENSK FILMINDUSTRI,4,28,-83.72%,"6,780",441,"98,630"
29,英國,山那邊的青稞田,2019/01/18,佳映娛樂國際股份有限公司,"Visit Films, LLC",1,22,-85.99%,"3,740",344,"67,980"
30,南韓,我的嘻哈我的家,2019/01/18,車庫娛樂股份有限公司,M-LINE DISTRIBUTION,1,1,-95.65%,300,71,"15,430"
31,美國,異裂,2019/01/16,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"55,939",-52.50%,"13,284,721","351,462","81,986,845"
32,美國,為了與你相聚,2019/01/11,台北双喜電影發行股份有限公司,"Columbia Pictures Industries, Inc.##Bona Film Investment Company (Pacific Rim,USA)",67,"6,407",-59.68%,"1,451,659","75,234","17,071,842"
33,中國大陸,大象席地而坐,2019/01/11,繁盛映畫有限公司,赤角（北京）文化傳播有限公司,12,"3,040",-44.28%,"776,962","24,423","6,143,796"
34,美國,賭命運轉手,2019/01/11,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,66,"2,750",-72.45%,"644,981","66,462","15,326,378"
35,美國,速成家庭,2019/01/11,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,62,"1,969",-78.06%,"453,625","48,008","10,961,795"
36,美國,捍衛生死線,2019/01/11,海樂影業股份有限公司,FREEWAY ENTERTAINMENT KFT.,46,"1,780",-74.92%,"408,128","47,072","10,872,815"
37,南韓,搖擺男孩,2019/01/11,車庫娛樂股份有限公司,CONTENTS PANDA,20,"1,757",-55.04%,"398,920","21,692","4,940,795"
38,泰國,借來的100天,2019/01/11,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,GDH 559 Company Limited,15,880,-58.12%,"195,885","15,155","3,426,972"
39,日本,機動戰士鋼彈NT,2019/01/11,向洋影業有限公司,"SUNRISE,INC.",8,617,-57.80%,"149,566","11,191","2,746,548"
40,美國,窒息,2019/01/11,傳影互動股份有限公司,FILMNATION INTERNATIONAL LLC,12,474,-71.77%,"116,078","11,474","2,842,737"
41,中華民國,玩命貼圖,2019/01/11,星泰國際娛樂股份有限公司,瑞陞傳播有限公司##星映電影有限公司##浙江博地影視有限公司,14,173,-79.84%,"39,175","14,812","3,254,984"
42,法國,天才樂手行不行,2019/01/11,原創娛樂股份有限公司,TF1 Studio,6,154,-73.85%,"32,680","2,942","633,661"
43,挪威,7月22日重生,2019/01/11,海鵬影業有限公司,TRUSTNORDISK APS,1,4,-97.35%,960,"1,350","295,057"
44,中華民國,春寒,2019/01/05,春暉映像有限公司,王知政,1,2,0.00%,380,9,"1,170"
45,瑞典,邊境奇譚,2019/01/04,傳影互動股份有限公司,FILMS BOUTIQUE SAS,3,243,-57.89%,"55,725","9,719","2,282,400"
46,美國,私人戰爭,2019/01/04,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,3,76,-73.61%,"17,800","15,032","3,354,591"
47,日本,旅貓日記,2019/01/04,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Shochiku Co., Ltd.",4,65,-71.49%,"14,760","8,042","1,825,363"
48,英國,惡魔突襲隊,2019/01/04,可樂藝術文創股份有限公司,GFM Films LLP,1,23,-52.08%,"2,300","2,156","447,543"
49,美國,毛骨悚然：趕盡殺絕,2019/01/04,威視股份有限公司,FREEWAY ENTERTAINMENT KFT.,1,3,-57.14%,770,"2,075","477,041"
50,美國,胡桃鉗與奇幻四國,2018/12/28,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",12,807,-48.40%,"187,844","99,579","22,990,681"
51,南韓,90分鐘末日倒數,2018/12/28,華聯國際影音股份有限公司,CJ E&M CORPORATION,26,597,-78.11%,"134,830","159,859","36,782,589"
52,美國,美聲俘虜,2018/12/28,牽猴子整合行銷股份有限公司,GEM Entertainment Kft,1,34,0.00%,"5,440",927,"207,126"
53,美國,大黃蜂,2018/12/26,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,78,"7,591",-61.53%,"1,771,928","639,746","154,647,389"
54,香港,葉問外傳：張天志,2018/12/26,華映娛樂股份有限公司,東方影業出品有限公司##(大陸)上海天馬聯合影視文化有限公司##(大陸)上海鳴肇影視文化有限公司,15,184,-85.80%,"42,260","143,553","32,244,734"
55,美國,羅賓漢崛起,2018/12/20,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,3,24,-93.16%,"5,490","166,412","38,569,108"
56,香港,霸王別姬,2018/12/14,能率影業股份有限公司,湯臣(香港)電影有限公司,6,514,-48.65%,"120,960","51,176","12,151,955"
57,中華民國,後勁：王建民,2018/12/14,牽猴子整合行銷股份有限公司,"藝博思國際有限公司##牽猴子整合行銷股份有限公司##WYC MOTIONS,LLC",2,107,-70.28%,"24,700","26,511","6,134,618"
58,日本,電影版我的英雄學院二人的英雄,2018/12/14,車庫娛樂股份有限公司,MEDIALINK ENTERTAINMENT LIMITED,2,53,-58.59%,"12,610","22,694","5,474,799"
59,德國,奇蹟熱氣球,2018/12/14,采昌國際多媒體股份有限公司,STUDIOCANAL,1,30,0.00%,"4,800","2,017","423,217"
60,美國,蜘蛛人：新宇宙,2018/12/13,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,22,"2,390",-52.78%,"591,213","182,958","42,765,763"
61,美國,水行俠,2018/12/12,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,80,"21,914",-39.06%,"5,265,120","1,912,927","463,146,386"
62,日本,POKE'MONTHEMOVIE劇場版精靈寶可夢我們的故事,2018/12/07,曼迪傳播有限公司,THE POKÉMON COMPANY,3,160,280.95%,"34,390","43,280","10,053,296"
63,美國,寡婦,2018/12/07,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,4,187,790.48%,"21,555","40,358","9,236,128"
64,阿根廷,這旅程使命必達,2018/12/07,本萃電影有限公司,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL S.L.,2,110,57.14%,"14,750",525,"98,027"
65,日本,SUNNY我們的青春,2018/12/07,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"TOHO CO., LTD.",1,40,0.00%,"6,400","3,072","693,231"
66,美國,移動城市：致命引擎,2018/12/06,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,0,-100.00%,0,"262,463","61,584,072"
67,美國,金牌拳手：父仇,2018/11/30,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,869,-5.54%,"83,210","52,310","11,680,243"
68,南韓,非賣品,2018/11/30,車庫娛樂股份有限公司,SHOWBOX CORP.,1,87,107.14%,"13,330","36,944","8,400,859"
69,中華民國,幸福定格,2018/11/30,視納華仁文化傳播股份有限公司,視納華仁文化傳播股份有限公司##七日印象電影有限公司,1,29,-83.24%,"6,110","11,590","2,640,587"
70,義大利,幸福騙局,2018/11/30,可樂藝術文創股份有限公司,TRUE COLOURS GLORIOUS FILM S.R.L.,1,21,0.00%,"4,440",694,"141,180"
71,美國,無敵破壞王2：網路大暴走,2018/11/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",20,"1,569",-56.17%,"356,065","592,806","137,591,151"
72,美國,壞事大飯店,2018/11/23,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,3,245,-33.78%,"27,240","4,923","1,012,832"
73,中華民國,比悲傷更悲傷的故事,2018/11/18,好好看文創有限公司,滿滿額娛樂股份有限公司##好好看文創有限公司##百聿數碼創意股份有限公司##神州音樂有限公司##崴森管理顧問股份有限公司##(大陸)上海唯喜影業有限公司##(香港)福斯傳媒有限公司,33,"2,631",-31.45%,"611,393","1,036,826","239,214,382"
74,俄羅斯,茶花女,2018/11/17,威秀影城股份有限公司,THE BOLSHOI THEATER,2,36,-40.98%,"25,560",202,"133,800"
75,中華民國,有五個姊姊的我就註定要單身了啊！,2018/11/16,華聯國際影音股份有限公司,(大陸)珠海漢都影視投資有限公司##(大陸)北京嘉映文化傳媒有限公司##(大陸)北京萌樣影視製作有限公司##(大陸)喀什嘉映文化傳媒有限公司##(中華民國)群星瑞智國際娛樂股份有限公司##(中華民國)華聯國際影音股份有限公司##(中華民國)中國信託創業投資股份有限公司##(香港)安樂影片有限公司##(新加坡)MM2 ENTERTAINMENT PTE LTD,2,113,-5.04%,"9,360","19,910","4,327,468"
76,泰國,交友網戰,2018/11/16,采昌國際多媒體股份有限公司,MONO FILM COMPANY LIMITED,1,70,-57.58%,"3,850","3,921","813,618"
77,美國,怪獸與葛林戴華德的罪行,2018/11/15,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,"1,604","1,702.25%","108,930","1,050,557","254,111,262"
78,美國,大君主行動,2018/11/09,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,11,"1,221",-1.77%,"95,110","160,786","37,150,526"
79,美國,鬼靈精,2018/11/09,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,964,82.58%,"58,130","74,735","16,659,838"
80,美國,蜘蛛網中的女孩,2018/11/09,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,198,-68.52%,"17,190","57,742","12,358,552"
81,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,15,"1,207",-39.07%,"180,513","146,547","34,500,940"
82,中華民國,誰先愛上他的,2018/11/02,親愛的工作室有限公司,海納百川娛樂有限公司##原點概念有限公司##親愛的工作室有限公司,8,"1,458",71.33%,"99,920","287,870","65,973,745"
83,南韓,親密陌生人,2018/11/02,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,3,275,212.50%,"23,915","9,586","2,125,486"
84,印度,我的嗝嗝老師,2018/11/02,捷傑有限公司,YASH RAJ FILMS,3,262,0.77%,"22,520","17,202","3,671,868"
85,美國,生命中的美好意外,2018/11/02,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,2,57,-38.71%,"6,700","15,686","3,647,945"
86,美國,潛艦獵殺令,2018/10/26,英屬維京群島商高捷全球開發有限公司 台灣分公司,NU IMAGE INCORPORATED,7,"1,146",82.78%,"89,325","325,682","74,940,533"
87,俄羅斯,夏,2018/10/26,鏡象電影製作有限公司,(法國)CHARADES,5,310,-46.74%,"67,371","1,405","307,279"
88,南韓,屍落之城,2018/10/26,車庫娛樂股份有限公司,CONTENTS PANDA,1,28,100.00%,"2,640","55,209","12,135,284"
89,美國,登月先鋒,2018/10/26,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,23,-58.18%,"2,300","65,298","15,561,804"
90,英國,朱門巧婦(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,4,55,0.00%,"36,560",560,"359,680"
91,美國,月光光新慌慌,2018/10/19,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,6,183,-57.34%,"19,370","114,761","26,152,393"
92,英國,深夜小狗神祕習題(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,21,-78.35%,"15,320","1,489","1,026,720"
93,南韓,極智對決,2018/10/19,華聯國際影音股份有限公司,CJ E&M CORPORATION,1,50,-72.97%,"3,960","34,199","7,280,107"
94,美國,機器戰犬,2018/10/12,傳影互動股份有限公司,LAKESHORE ENTERTAINMENT GROUP LLC,1,104,-66.98%,"5,720","9,841","2,039,500"
95,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,8,"1,263",-41.17%,"104,575","697,007","162,566,733"
96,美國,猛毒,2018/10/03,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,6,824,-52.78%,"54,555","1,199,731","278,730,083"
97,美國,小腳怪,2018/09/28,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,129,-15.13%,"13,630","100,407","22,061,340"
98,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,1,16,0.00%,"1,600","234,952","53,363,625"
99,南韓,與神同行：最終審判,2018/08/08,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,12,"1,272",0.00%,"108,480","2,008,824","479,613,388"
100,日本,名偵探柯南:零的執行人,2018/07/06,向洋影業有限公司,"TMS ENTERTAINMENT CO.,LTD.",5,72,-76.85%,"31,500","393,711","92,350,164"
101,法國,我愛妳，妳愛她,2016/05/20,東昊影業有限公司,VERSATILE,1,2,0.00%,300,259,"55,435"
