序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,本周票數變動率,銷售金額,累計銷售票數,累計銷售金額
41,美國,波希米亞狂想曲,2018/11/02,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,28,"3,890",-58.57%,"968,118","134,888","32,259,255"
42,印度,我的嗝嗝老師,2018/11/02,捷傑有限公司,YASH RAJ FILMS,4,106,-91.28%,"22,500","16,016","3,563,903"
43,日本,聖☆哥傳,2018/11/02,香港商甲上娛樂有限公司台灣分公司,"SDP,INC.",2,27,-54.24%,"6,430","12,463","3,067,734"
44,南韓,親密陌生人,2018/11/02,采昌國際多媒體股份有限公司,(匈牙利)FREEWAY ENTERTAINMENT KFT.,1,11,-75.00%,"2,420","8,984","2,053,571"
45,美國,潛艦獵殺令,2018/10/26,英屬維京群島商高捷全球開發有限公司 台灣分公司,NU IMAGE INCORPORATED,32,"3,288",-73.64%,"784,966","322,442","74,531,518"
46,美國,登月先鋒,2018/10/26,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,7,-90.28%,"1,640","63,165","15,375,489"
47,中華民國,紅盒子,2018/10/19,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,9,655,109.27%,"142,455","30,578","6,717,757"
48,英國,朱門巧婦(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,125,73.61%,"80,200",454,"289,880"
49,英國,凱撒大帝(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,3,111,0.00%,"75,240",629,"419,080"
50,美國,億萬男孩俱樂部,2018/10/19,香港商甲上娛樂有限公司台灣分公司,"BB CLUB,LLC",1,31,0.00%,"3,100","25,273","5,975,058"
51,美國,機器戰犬,2018/10/12,傳影互動股份有限公司,LAKESHORE ENTERTAINMENT GROUP LLC,1,68,74.36%,"6,800","9,038","1,988,045"
52,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,23,"1,417",-73.33%,"349,421","685,414","161,560,303"
53,香港,無雙,2018/10/05,台北双喜電影發行股份有限公司,(香港)博納影視娛樂有限公司##(香港)英皇影業有限公司##(大陸)上海博納文化傳媒有限公司##(大陸)上海阿里巴巴影業有限公司##(大陸)華夏電影發行有限責任公司##(大陸)博納影業集團股份有限公司##(大陸)双喜電影發行(北京)有限公司,11,"2,441",38.38%,"189,250","204,135","46,100,967"
54,南韓,鬼神拍檔,2018/10/05,車庫娛樂股份有限公司,CJ E&M CORPORATION,1,43,-64.17%,"6,020","10,884","2,414,504"
55,美國,猛毒,2018/10/03,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,6,-95.77%,"1,240","1,189,528","277,895,598"
56,美國,小腳怪,2018/09/28,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,252,414.29%,"20,520","95,680","21,658,025"
57,香港,歐洲攻略,2018/09/28,華映娛樂股份有限公司,（英屬維京群島）春光映画(BLOCK 2 PICTURES INC.)##（英屬維京群島）見天地電影工作室有限公司(MASTER CHINA FILMS LTD.)##（大陸）上海銀潤傳媒廣告有限公司##（大陸）西藏恆信天地影視有限公司##（大陸）浙江天意影視有限公司##（香港）美亞電影製作有限公司,4,208,-13.33%,"16,540","8,577","1,770,507"
58,美國,判決,2018/09/28,傳影互動股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT,1,42,0.00%,"6,720","15,939","3,575,365"
59,美國,人肉搜索,2018/09/28,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,30,0.00%,"3,000","58,956","13,683,328"
60,英國,愛麗絲夢遊仙境,2018/09/27,威秀影城股份有限公司,ROYAL OPERA HOUSE,1,106,55.88%,"72,200",304,"207,120"
61,美國,惡魔島,2018/09/21,香港商甲上娛樂有限公司台灣分公司,"RED GRANITE INTERNATIONAL,INC",10,"1,665",84.39%,"125,660","167,710","39,002,844"
62,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,8,"1,102",21.23%,"80,505","69,993","15,062,765"
63,美國,凸搥特派員:三度出擊,2018/09/21,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,4,564,0.00%,"53,560","253,691","58,510,075"
64,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,6,419,267.54%,"47,455","229,919","52,938,710"
65,香港,黃金兄弟,2018/09/21,牽猴子整合行銷股份有限公司,耀萊文娛發展有限公司##影藝人娛樂製作有限公司##(大陸)北京耀暘信盈投資有限公司##(中華民國)寬魚國際股份有限公司,8,582,49.23%,"45,910","69,000","15,698,301"
66,美國,極地之王,2018/09/21,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,3,262,-53.30%,"24,540","23,500","4,944,851"
67,日本,退而不休,2018/09/21,天馬行空數位有限公司,"TOEI COMPANY,LTD.",1,24,0.00%,"2,400","4,237","878,267"
68,美國,失蹤網紅,2018/09/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,8,826,-39.97%,"68,725","103,979","23,671,236"
69,美國,終極戰士：掠奪者,2018/09/14,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,4,450,-33.04%,"26,990","188,464","43,539,579"
70,德國,無聊的人生我死也不要,2018/09/14,安可電影股份有限公司,GLOBAL SCREEN GMBH,1,84,0.00%,"12,860","11,682","2,675,706"
71,阿根廷,密謀,2018/09/14,本萃電影有限公司,(西班牙)LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,1,46,-36.99%,"7,020","9,684","2,216,981"
72,美國,鬼修女,2018/09/06,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,298,-42.36%,"22,915","477,106","112,557,117"
73,美國,私刑教育2,2018/08/30,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,9,"1,562",-10.84%,"141,866","306,530","70,130,011"
74,美國,瘋狂亞洲富豪,2018/08/24,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,9,"1,098",-46.33%,"93,195","285,007","66,258,851"
75,中華民國,鬥魚,2018/08/17,星泰國際娛樂股份有限公司,多曼尼製作有限公司##星泰國際娛樂股份有限公司##旺旺中時媒體集團##宏璟建設股份有限公司##樂到家國際娛樂股份有限公司##香港商福斯傳媒有限公司台灣分公司##(大陸)霍爾果斯鑫岳影視傳媒有限公司##(大陸)霍爾果斯觀達影視文化傳播有限公司,2,359,-50.35%,"19,255","136,677","30,552,364"
76,美國,巨齒鯊,2018/08/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,46,-81.96%,"3,660","698,074","162,289,851"
77,美國,摯友維尼,2018/08/03,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",1,98,-63.30%,"14,280","103,239","23,496,674"
78,美國,不可能的任務：全面瓦解,2018/07/25,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,4,805,-41.96%,"40,745","1,896,573","447,430,615"
79,美國,尖叫旅社3:怪獸假期,2018/07/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,1,104,-38.10%,"15,200","310,372","68,658,610"
80,中華民國,愛情線索2：奇妙關係,2018/05/11,台灣牛角電影有限公司,台灣牛角電影有限公司,2,543,-22.65%,"130,180","2,213","494,920"
81,日本,春宵苦短，少女前進吧！,2017/09/29,向洋影業有限公司,FUJI CREATIVE CORP.,1,18,0.00%,"2,770","2,771","684,206"
82,中華民國,看見台灣,2013/11/01,牽猴子整合行銷股份有限公司,台灣阿布電影股份有限公司,1,200,0.00%,"42,000","3,197","733,500"
83,俄羅斯,馴悍記,2006/09/02,威秀影城股份有限公司,THE BOLSHOI THEATRE,1,4,0.00%,"2,400",39,"23,800"
