序號,國別地區,中文片名,上映日期,申請人,出品,上映日數,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
31,南韓,證人,2019/02/21,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",7,41,"10,481",-32.87%,"2,404,575","55,643","12,892,242"
32,中華民國,一吻定情,2019/02/14,車庫娛樂股份有限公司,當樂娛樂股份有限公司,7,54,"3,876",-61.58%,"879,261","106,900","24,411,374"
33,美國,祝你忌日快樂,2019/02/14,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,32,670,-75.66%,"156,042","128,728","29,587,105"
34,美國,樂高玩電影2,2019/02/14,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,19,266,-80.06%,"59,700","41,196","9,506,325"
35,美國,愛‧欺,2019/02/14,威視股份有限公司,EMBANKMENT FILMS LIMITED,7,5,242,-68.45%,"51,340","18,787","4,166,950"
36,義大利,NICO，地下絲絨之後,2019/02/14,翻面映畫有限公司,Celluloid Dreams SAS,3,1,4,-87.50%,"1,240",897,"202,539"
37,美國/黎巴嫩,我想有個家,2019/02/08,海鵬影業有限公司,WILD BUNCH,7,4,246,-62.78%,"52,210","15,248","3,303,215"
38,美國,艾莉塔：戰鬥天使,2019/02/05,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,7,77,"8,613",-57.30%,"2,053,651","1,089,724","274,916,164"
39,加拿大,哈柏太空之旅3D,2019/02/04,國際電影事業有限公司,IMAX Corporation,3,1,5,-89.13%,730,268,"39,475"
40,加拿大,深海獵奇3D,2019/02/03,國際電影事業有限公司,IMAX Corporation,4,1,16,-23.81%,"2,080",196,"27,365"
41,日本,日日是好日,2019/02/01,天馬行空數位有限公司,ColorBird Inc.,6,1,98,-59.67%,"20,090","9,695","2,103,315"
42,美國,愛‧滿人間,2019/02/01,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,1,24,-84.91%,"6,370","76,324","17,806,694"
43,美國,馴龍高手3,2019/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,57,"3,098",-59.17%,"731,029","704,049","165,473,290"
44,美國,幸福綠皮書,2019/01/25,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"Storyteller Distribution Co., LLC pursuant to its arrangements with Participant Media, LLC",7,50,"10,142",-37.13%,"2,377,839","172,080","40,320,448"
45,美國,真寵,2019/01/25,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,7,10,733,-56.21%,"163,379","43,276","9,873,795"
46,日本,妖怪手錶：光影之卷鬼王的復活,2019/01/25,華藝娛樂股份有限公司,Level 5 abby,1,1,12,"1,200.00%","2,640","3,091","704,215"
47,中華民國,寒單,2019/01/23,威視股份有限公司,想亮影藝股份有限公司##聚善美文創娛樂有限公司##奧瑪優勢傳媒娛樂行銷有限公司##如意休閒事業股份有限公司##彩虹塗裝有限公司##台北影業股份有限公司##北京中視星馳文化傳媒有限公司##深圳善為影業股份有限公司##廣州海盟佐佐文化傳播有限公司##東風沐電影工作室,4,2,70,-35.78%,"14,580","218,943","49,111,735"
48,日本,巧虎電影魔法島大冒險,2019/01/18,全民大劇團股份有限公司,法人倍樂生株式會社,7,15,395,-27.79%,"92,864","37,590","8,896,067"
49,日本,我的爸爸是壞蛋冠軍,2019/01/18,天馬行空數位有限公司,Hakuhodo DY music & pictures Inc.,7,2,151,122.06%,"22,520","2,016","431,283"
50,美國,魔劍少年,2019/01/18,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,7,3,312,43.78%,"18,155","27,004","5,900,823"
51,美國,捍衛生死線,2019/01/11,海樂影業股份有限公司,FREEWAY ENTERTAINMENT KFT.,7,10,"1,573",59.37%,"126,335","49,914","11,125,875"
52,美國,為了與你相聚,2019/01/11,台北双喜電影發行股份有限公司,"Columbia Pictures Industries, Inc.##Bona Film Investment Company (Pacific Rim,USA)",3,8,"1,206",0.00%,"90,700","79,161","17,790,679"
