序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,周票數變動率,銷售金額,累計銷售票數,累計銷售金額
18,南韓,沒有你的生日,2019/04/12,車庫娛樂股份有限公司,CONTENTS PANDA,30,"1,516",-72.09%,"332,231","11,375","2,605,469"
19,法國,人盡皆知,2019/04/12,車庫娛樂股份有限公司,MEMENTO FILMS DISTRIBUTION,8,319,-61.14%,"64,135","1,966","398,114"
20,中華民國,一念,2019/04/12,牽猴子整合行銷股份有限公司,舊視界文化藝術有限公司,10,270,-31.47%,"54,901","1,796","387,332"
21,美國,灰影地帶,2019/04/12,天馬行空數位有限公司,Radiant Films International,8,141,-76.38%,"28,385","1,330","272,099"
22,美國,異類占領,2019/04/12,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Storyteller Distribution Co., LLC",16,79,-95.78%,"18,415","4,963","1,106,094"
23,美國,真愛，再出發,2019/04/12,華聯國際影音股份有限公司,"VOLTAGE PICTURES, LLC",11,73,-90.23%,"15,530","1,912","421,555"
24,俄羅斯,電競殺手,2019/04/12,鴻聯國際開發股份有限公司,Filmatico LLC.,10,71,-85.80%,"15,375","1,391","300,069"
25,日本,海邊的道別,2019/04/12,又水整合設計有限公司,"Perfect world co., ltd.",1,18,-81.05%,"4,950",275,"66,250"
26,美國,惡孕,2019/04/12,暗光鳥有限公司,THE SALT COMPANY (INTERNATIONAL) LTD,4,15,-86.73%,"3,480",294,"66,732"
27,中華民國,疑霧公堂,2019/04/12,內容力有限公司,公共電視文化事業基金會,1,7,-97.00%,"1,900",360,"81,350"
28,美國,地獄怪客:血后的崛起,2019/04/11,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",83,"10,867",-78.75%,"2,479,862","131,800","30,143,521"
29,美國,奇幻遊樂園,2019/04/04,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,41,786,-81.33%,"168,695","50,007","11,263,952"
30,美國,我和我的摔角家庭,2019/04/04,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,54,446,-89.67%,"99,435","47,392","10,754,452"
31,日本,LoveLive!Sunshine!!學園偶像電影～彩虹彼端～,2019/04/04,群英社國際股份有限公司,BANDAI NAMCO Arts Inc,5,169,-78.95%,"39,950","9,373","2,307,834"
32,南韓,錢力遊戲,2019/04/04,車庫娛樂股份有限公司,SHOWBOX CORP.,1,4,-94.74%,"1,150","2,304","529,288"
33,美國,侵密室友,2019/04/03,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"ANTON CAPITAL ENTERTAINMENT, S.C.A.",19,444,-85.35%,"101,900","24,631","5,652,250"
34,法國,我的巴黎舅舅,2019/04/03,東昊影業有限公司,MK2 Films,3,187,-48.63%,"39,085","2,082","435,275"
35,日本,哈納萊伊灣,2019/04/03,可樂藝術文創股份有限公司,Alpha Violet (Grantor),1,21,-76.67%,"4,240",761,"165,418"
36,中國大陸,阿拉姜色,2019/04/03,海鵬影業有限公司,小金斯古拉旅游文化投資有限公司##同德縣穹慶影視文化傳媒有限責任公司##北京誠利千代文化傳媒有限公司##四川斯古拉文化發展有限公司,1,5,-96.82%,"1,180","1,728","354,485"
37,美國,沙贊！,2019/03/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"11,825",-77.74%,"2,829,681","541,567","129,006,294"
38,美國,小飛象,2019/03/29,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",89,"10,166",-67.19%,"2,381,344","354,936","82,554,578"
39,美國,失控危城,2019/03/29,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Arclight Films International, Pty., Ltd.",57,"7,918",-66.51%,"1,867,029","133,144","30,660,063"
40,美國,愛上觸不到的你,2019/03/29,采昌國際多媒體股份有限公司,CBS Films Inc.,56,"3,807",-73.23%,"873,015","118,879","27,599,224"
41,美國,他們不再老去,2019/03/29,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,39,-88.89%,"8,690","6,823","1,563,649"
42,日本,家族的色彩,2019/03/29,天馬行空數位有限公司,"Shochiku Co., Ltd.",1,26,-56.67%,"5,070","2,236","476,567"
43,美國,毀滅者,2019/03/29,車庫娛樂股份有限公司,ROCKET SCIENCE INDUSTRIES LTD.,1,4,-73.33%,740,"3,350","751,184"
44,泰國,屍降,2019/03/29,海樂影業股份有限公司,M PICTURES COMPANY LIMITED,3,2,-98.73%,480,"32,486","7,242,638"
45,日本,相對世界。明日終結?,2019/03/29,木棉花國際股份有限公司,"Shochiku Co., Ltd.",1,0,-100.00%,0,"3,798","916,398"
46,美國,我們,2019/03/22,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,44,588,-87.71%,"144,299","269,277","62,797,276"
47,中華民國,老大人,2019/03/22,威視股份有限公司,興揚電影有限公司##中環國際娛樂事業股份有限公司##(大陸)海寧鐵幕真文化傳媒有限公司##(大陸)喀什嘉映文化傳媒有限公司,14,626,-79.94%,"137,030","58,093","13,007,601"
48,美國,庫爾斯克號:深海救援,2019/03/22,海樂影業股份有限公司,EuropaCorp,3,51,-80.75%,"10,760","66,436","14,897,419"
49,法國,愛情零極限,2019/03/22,原創娛樂股份有限公司,Wild Bunch,1,68,112.50%,"10,400",552,"108,240"
50,西班牙,騙局,2019/03/22,海鵬影業有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,1,9,-92.44%,"1,760","6,391","1,427,918"
51,日本,假面飯店,2019/03/15,英屬維京群島商高捷全球開發有限公司 台灣分公司,"PONY CANYON, INC.",3,141,-52.04%,"30,845","48,487","11,092,268"
52,日本,Fate_staynight[Heaven'sFeel]II.迷途之蝶,2019/03/09,曼迪傳播有限公司,Aniplex Inc.,7,176,-85.17%,"78,345","59,945","15,706,009"
