排序,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
48,中華民國,幸福城市,2018/10/26,幸福城市股份有限公司,幸福城市股份有限公司##長龢有限公司##財團法人高雄市文化基金會##滿滿額娛樂有限公司##(大陸)青島翰洺影業有限公司,1,20,-91.15%,"5,040","6,510","1,448,377"
49,英國,深夜小狗神祕習題(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,5,399,392.59%,"271,720",999,"675,520"
50,英國,劊子手(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,192,236.84%,"125,560",544,"352,960"
51,中華民國,紅盒子,2018/10/19,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,7,313,-59.66%,"72,220","29,923","6,575,302"
52,英國,朱門巧婦(英國國家劇院現場),2018/10/19,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,3,72,53.19%,"45,640",329,"209,680"
53,日本,檢方的罪人,2018/10/19,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,12,-55.56%,"2,750","22,660","5,153,793"
54,美國,月光光新慌慌,2018/10/19,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,6,-91.18%,"1,570","113,802","26,061,213"
55,美國,機器戰犬,2018/10/12,傳影互動股份有限公司,LAKESHORE ENTERTAINMENT GROUP LLC,1,39,0.00%,"3,900","8,970","1,981,245"
56,美國,一個巨星的誕生,2018/10/09,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,54,"5,313",-54.89%,"1,290,800","683,997","161,210,882"
57,法國,奧尼熊與莎琳鼠,2018/10/08,三創數位股份有限公司,弘恩文化事業有限公司,1,3,0.00%,300,7,700
58,香港,無雙,2018/10/05,台北双喜電影發行股份有限公司,(香港)博納影視娛樂有限公司##(香港)英皇影業有限公司##(大陸)上海博納文化傳媒有限公司##(大陸)上海阿里巴巴影業有限公司##(大陸)華夏電影發行有限責任公司##(大陸)博納影業集團股份有限公司##(大陸)双喜電影發行(北京)有限公司,12,"1,764",660.34%,"135,145","201,694","45,911,717"
59,南韓,鬼神拍檔,2018/10/05,車庫娛樂股份有限公司,CJ E&M CORPORATION,2,120,-31.82%,"17,760","10,841","2,408,484"
60,日本,在咖啡冷掉之前,2018/10/05,英屬維京群島商高捷全球開發有限公司 台灣分公司,"TOKYO BROADCASTING SYSTEM TELEVISION, INC.",1,10,-76.19%,"2,690","52,171","12,047,136"
61,美國,猛毒,2018/10/03,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,142,-79.74%,"33,205","1,189,522","277,894,358"
62,中國大陸,塑料王國,2018/09/28,視納華仁文化傳播股份有限公司,（香港）CNEX FOUNDATION LIMITED##（大陸）北京泰岳文化傳播有限責任公司（BEIJING TYC MEDIA）,1,150,-6.83%,"36,000","3,413","731,442"
63,香港,歐洲攻略,2018/09/28,華映娛樂股份有限公司,（英屬維京群島）春光映画(BLOCK 2 PICTURES INC.)##（英屬維京群島）見天地電影工作室有限公司(MASTER CHINA FILMS LTD.)##（大陸）上海銀潤傳媒廣告有限公司##（大陸）西藏恆信天地影視有限公司##（大陸）浙江天意影視有限公司##（香港）美亞電影製作有限公司,3,240,-5.88%,"29,390","8,369","1,753,967"
64,馬來西亞,李宗偉：敗者為王,2018/09/28,星泰國際娛樂股份有限公司,志博影業有限公司##馬虎電影有限公司,1,88,0.00%,"18,630","16,480","3,621,890"
65,美國,小腳怪,2018/09/28,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,1,49,-52.88%,"10,400","95,428","21,637,505"
66,中華民國,火焰中的星空,2018/09/27,符號文化股份有限公司,符號文化股份有限公司,1,323,38.03%,"71,080","1,057","232,025"
67,英國,愛麗絲夢遊仙境,2018/09/27,威秀影城股份有限公司,ROYAL OPERA HOUSE,2,68,0.00%,"47,040",198,"134,920"
68,美國,惡魔島,2018/09/21,香港商甲上娛樂有限公司台灣分公司,"RED GRANITE INTERNATIONAL,INC",6,903,71.02%,"101,545","166,045","38,877,184"
69,美國,血薄荷,2018/09/21,海樂影業股份有限公司,(匈牙利)GEM ENTERTAINMENT KFT.,7,909,278.75%,"73,370","68,891","14,982,260"
70,美國,極地之王,2018/09/21,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,6,561,-19.86%,"44,970","23,238","4,920,311"
71,香港,黃金兄弟,2018/09/21,牽猴子整合行銷股份有限公司,耀萊文娛發展有限公司##影藝人娛樂製作有限公司##(大陸)北京耀暘信盈投資有限公司##(中華民國)寬魚國際股份有限公司,5,390,348.28%,"34,010","68,418","15,652,391"
